Company,Valuation(US$ billions),Valuation date,Industry,Country/countries,Founder(s)
Rohlik,1.2,June 2021[424],Retail,Czech Republic,
upGrad,1.2,August 2021[425],Educational technology,India,
Voodoo,1.2,August 2020[426],Gaming,France,
Workhuman,1.2,June 2020[427],Software,Ireland,
Sysdig,1.18,April 2021[428],Cybersecurity,US,
Acko,1.1,October 2021[429],Insurance,India,
Apna,1.1,September 2021[430],,India,
Carousell,1.1,September 2021[431],Marketplace,Singapore,
CoinDCX,1.1,August 2021[432],Cryptocurrency,India,"Sumit Gupta, Neeraj Khandelwal"
GlobalBees,1.1,December 2021[433],,India,
Luoji Siwei,1.1,September 2017[129],,China,
Nexthink,1.1,February 2021[434],Technology,Switzerland,
Sisense,1.1,January 2020[435],Business intelligence,Israel /  US,
SmartNews,1.1,August 2019[436],,Japan,
Trax,1.1,May 2019[437],,Singapore /  Israel,
Virta Health,1.1,December 2020[438],Healthcare,US,
Benevity,1.1,December 2020[439],Software as a service,Canada,Bryan de Lottinville
Zego,1.1,March 2021[440],Insurance,UK,
TANAAKK,1.1,Feb 2022,Software as a service,Japan,Shoichiro Tanaka
Instabase,1.05,October 2019[441],Software,US,Anant Bhardwaj
Rivigo,1.05,October 2019[442],Logistics,India,"Deepak Garg, Gazal Kalra"
Aprogen,1.04,December 2019[443],,South Korea,
Pentera,1.0,January 2022[444],Cybersecurity,Israel,"Arik Liberzon, Arik Faingold[445]"
Emplifi,1+,March 2022[446],Technology,"US,  UK and Europe",
Gymshark,1+,August 2020[447],Sportswear,UK,"Ben Francis, Lewis Morgan"
Kopi Kenangan,1+,December 2021[448],Coffee Shop,Indonesia,"Edward Tirtanata, James Prananto, Cynthia Chaerunnisa"
Clara,1+,December 2021[449],Financial technology,Mexico,
58 Daojia,1+,October 2015[129],,China,
Acronis,1+,September 2019[450],Software,Singapore /   Switzerland,
Aircall,1+,October 2021[451],Cloud,France,
Ajaib,1+,October 2021[452],Financial technology,Indonesia,
Amber Group,1+,June 2021[453],Cryptocurrency,Hong Kong,
AppDirect,1+,October 2015[454],,US,
Aqua Security,1+,March 2021[455],Cloud computing,Israel,
Asia First Media,1+,September 2019[456],Media,Japan,
Assent Compliance,1+,January 2022[457],Supply chain management,Canada,
Beibei,1+,June 2016[129],E-commerce,China,
Blackbuck,1+,July 2021[458],Logistics,India,
Back market,1+,October 2021[459],E-commerce,France,
Bluecore,1+,August 2021[460],E-commerce,US,
Bringg,1+,June 2021[461],Logistics,Israel,
"Cadence Solutions, Inc.",1+,December 2021[462],Healthcare,US,Chris Altchek
Calabrio,1+,March 2021[463],Software,US,
Carro,1+,June 2021[464],Marketplace,Singapore,
Carsome,1+,July 2021[465],Marketplace,Malaysia,
Chubao Technology,1+,May 2017[129],,China,
Dream Games,1+,June 2021[466],Video games,Turkey,
DriveNets,1+,January 2021[467],Software as a service,Israel,
Dt Dream,1+,June 2017[129],,China,
DXY,1+,April 2018[129],,China,
Earnix,1+,February 2021[468],Financial technology,Israel,
Ebanx,1+,October 2019[469],Financial services,Brazil,
EMPG,1+,June 2020[470],Real estate technology,UAE,
eSentire,1+,Feb 2022[471],Cybersecurity,Canada /  USA,
Flash Express,1+,June 2021[472][473],Logistics,Thailand,
Flutterwave,1+,March 2021[474],Financial technology,Nigeria /  US,
Fractal,1+,January 2022,Artificial intelligence,India/  US,
FreshBooks,1+,August 2021[475],Accounting software,Canada,
Frontline Education,1+,September 2017[476],,US,
FXiaoKe,1+,January 2018[129],,China,
Gelato,1+,August 2021[477],,Norway,
GeoComply,1+,March 2021[478],Cybersecurity,Canada,
GetYourGuide,1+,May 2019[479],Travel,Germany,
Glance,1+,December 2020[480],Artificial intelligence,India,
Glovo,1+,December 2019[481],Courier service,Spain
Go1,1+,July 2021[482],Education,Australia,
GoGoVan,1+,September 2017[483],Technology,Hong Kong,
Gorillas,1+,March 2021[484],Retail,Germany,
Gousto,1+,November 2020[citation needed],Meal kit,UK,
Blinkit,1+,June 2021[485],Retail,India,
Grover,1+,April 2022 [486],E-commerce,Germany,Michael Cassau
Grove Collaborative,1+,September 2019[citation needed],,US,
Hailo,1+,June 2021[487],Electronics,Israel,
HighRadius,1+,January 2020[488],Software as a service,India /  US,
Huikedu Group,1+,May 2018[129],,China,
iCarbonX,1+,July 2016[129],Healthcare,China,
IFood,1+,November 2018[489],Food delivery,Brazil,
Improbable,1+,May 2017[490],Cloud computing,UK,
Infobip,1+,July 2020[491],Cloud communications,Croatia /  UK,
Injective,1+,April 2021[492],Financial technology,US,"Eric Chen, Albert Chon"
InMobi,1+,May 2017[493],Internet,India,"Naveen Tewari, Mohit Saxena, Amit Gupta and Abhay Singhal"
InVision,1+,November 2017[494],,US,
Ivalua,1+,May 2020[495],,France /  US,
Jollychic,1+,May 2018[129],,China,
JoyTunes,1+,June 2021[496],Music,Israel,
Kitopi,1+,July 2021[497],Ghost kitchen,UAE,
Klook,1+,April 2019[498][499],,Hong Kong,
Lamabang,1+,February 2017[129],,China,
LetsGetChecked,1+,June 2021[500],Healthcare,Ireland,
Licious,1+,October 2021[501],Retail,India,"Abhay Hanjura, Vivek Gupta"
Lilium,1+,June 2020[502],Transportation,Germany,
LinkSure Network (WiFi Master Key),1+,January 2015[129],,China,
Liquid Group,1+,April 2019[503],Cryptocurrency,Japan,
LMAX Group,1+,July 2021[504],FinTech,UK,
Locus Robotics,1+,February 2021[505],Robotics,US,
Loft Brazil Technology [pt],1+,January 2020[506],Real Estate,Brazil,
Lunar,1+,July 2021[507],Financial technology,Denmark
Loggi [pt],1+,June 2019[citation needed],Logistics,Brazil,
Lookout,1+,August 2014[508],Cybersecurity,US,
MadeiraMadeira [pt],1+,January 2021[509],Furniture,Brazil,
Maimai,1+,August 2018[510],,China,
Matrixport,1+,August 2021[511],Cryptocurrency,Singapore,
Meero,1+,June 2019[512],Internet,France,
Mensa Brands,1+,November 2021[513],E-commerce,India,
Mia.com,1+,October 2016[129],,China,
MindMaze,1+,February 2016[514],,Switzerland,
MobiKwik,1+,October 2021[515],Financial technology,India,
MobileCoin,1+,August 2021[516],Cryptocurrency,US,
Mobvoi,1+,October 2015[129],Artificial intelligence,China,
Mofang Apartment,1+,April 2016[129],,China,
Moglix,1+,May 2021[517],E-commerce,India /  Singapore,Rahul Garg
Moka,1+,November 2021[518],Human resource management,China,
Morning Consult,1+,June 2021[519],,US,
Ninja Van,1+,September 2021[520],Logistics,Singapore,
Nium,1+,July 2021[521],Financial technology,Singapore,
NoBroker,1+,November 2021[522],,India,"Akhil Gupta, Amit Agarwal, Saurabh Garg"
Numbrs,1+,August 2019[523],Financial technology,Switzerland,
OCSiAl,1+,March 2019[524],Nanotechnology,Luxembourg,
Opn (Synqa),1+,May 2022[525],Financial technology,Japan,"Jun Hasegawa, Ezra Don Harinsut"
OrCam,1+,February 2018[526],Health,Israel,
PandaDoc,1+,September 2021[527],Software as a Service,US,"Mikita Mikado, Sergey Barysiuk"
Pantheon,1+,July 2021[528],WebOps,US,
PatSnap,1+,March 2021[529],Intellectual property,Singapore,
Picsart,1+,August 2021[530],Graphic design,Armenia /  US,
Pipedrive,1+,November 2020[531],CRM,Estonia /  US,
Playco,1+,September 2020[532],Mobile gaming,Japan,
Printful,1+,May 2021[533],Technology,Latvia,
Redis Labs,1+,August 2020[534],Software,Israel /  US,
REEF Technology,1+,November 2020[535],Information Technology & Services,US,
Quizlet,1+,May 2020[536],Education technology,US,
Revolution Precrafted,1+,October 2017[537],Architecture,Philippines,
Rubicon Global,1+,September 2017[538],Waste management,US,
Sennder,1+,January 2021[539],Logistics,Germany,
Shift Technology,1+,May 2021[540],Artificial intelligence,France,
Shippo,1+,June 2021[541],,US,"Laura Behrens Wu, Simon Kreuz"
Sift,1+,April 2021[542],Digital Trust & Safety,US,
Slice,1+,November 2021[543],Financial technology,India,
SmartAsset,1+,June 2021[544],Financial technology,US,
SmartMore,1+,June 2021[545],Artificial intelligence,China,
Snapdeal,1+,May 2017[5],E-commerce,India,"Rohit Bansal, Kunal Bahl"
Socar,1+,October 2020[546],Car Sharing,South Korea,
SoundHound,1+,May 2018[547],,US,
Splashtop,1+,January 2021[548],Software,US,
Staffbase,1.1,March 2022[549],Software as a Service,Germany,"Frank Wolf, Lutz Gerlach, Martin Bohringer"
Swile,1+,October 2021[550],Financial services,France,
Tekion,1+,October 2020[551][552],Software as a Service (SaaS),US,
Tenstorrent,1+,May 2021[553],Semiconductors,Canada,
Tezign,1+,October 2021[554],Software,China,
Tongdun Technology,1+,October 2017[129],,China,
Tractable,1+,June 2021[555],Artificial intelligence,UK,
Tresata,1+,October 2018[556],,US,
TrueLayer,1+,September 2021[557],Financial technology,UK,
Trustly,1+,June 2020[558],Financial technology,Sweden,
Turo,1+,July 2019[559],Car sharing,US,
Udacity,1+,November 2015[560],Education,US,
Unisound,1+,July 2018[129],Technology,China,
Vedantu,1+,September 2021[561],Education technology,India,
Verbit,1+,June 2021[562],Software,Israel,
VerSe Innovation,1+,December 2020[563],Technology,India,Virendra Gupta
Visier,1+,June 2021[564],Technology,Canada,
volocopter,1+,March 2021[565],Transportation,Germany,
Vox Media,1+,August 2015[566],Digital media,US,
VTS,1+,May 2019[567],,US,
Wacai.com,1+,July 2018[129],,China,
WeLab,1+,December 2019[568],Financial technology,Hong Kong,
Womai,1+,October 2015[129],,China,
Xendit,1+,September 2021[569],Financial technology,Indonesia,
Xiaozhu.com,1+,November 2017[129],,China,
Yanolja,1+,February 2019[570],,South Korea,
YH Global,1+,September 2017[129],Telecommunications,China,
Yidian Zixun,1+,October 2017[129],,China,
Yitu Technology,1+,July 2018[129],,China,
YunQuNa,1+,May 2021[571],Logistics,China,
Zenoti,1+,December 2020[572],Software company,India /  US,
Zhaogang.com,1+,July 2017[129],,China,
Zhuanzhuan,1+,April 2017[129],,China,
Zigbang,1+,July 2021[573],Real Estate,South Korea,
Zuoyebang,1+,July 2018[129],,China,
Einride,1.44,April 2022[574],Technology,Sweden,
Voi,1+,April 2022[575],,Sweden,
Bitkub,1+,November 2021[576][577],Financial technology,Thailand,
Nagad,1+,April 2022[578],Financial services,Bangladesh,Rahel Ahmed
