Company,Valuation(US$ billions),Valuation date,Industry,Country/countries,Founder(s)
Fivetran,5.6,September 2021[106],Data infrastructure,US,
PharmEasy,5.6,October 2021[107],Health technology,India,Siddharth Shah
Postman,5.6,August 2021[108],Software as a service,India /  US,
Airwallex,5.5,November 2021[109],Financial services,Australia /  Hong Kong,
PhonePe,5.5,December 2020[110],Financial technology,India,"Sameer Nigam, Rahul Chari"
Samsara,5.4,May 2020[111],Technology,US,
Pony.ai,5.3,November 2020[112],Artificial intelligence,China /  US,"James Peng, Tiancheng Lou"
Trade Republic,5.3,May 2021[113],Financial technology,Germany,
Rappi,5.25,July 2021[114],Transportation,Colombia,
Blockchain.com,5.2,March 2021[115],Cryptocurrency,UK,
OneTrust,5.1,December 2020[116],Cybersecurity,UK /  US,
SambaNova,5.1,April 2021[117],Artificial intelligence,US,
Collibra,5+,January 2019[118],Data governance,Belgium,"Pieter De Leenheer, Felix Van de Maele, Stijn Christiaens"
Thrasio,5+,October 2021[119],Holding company,US,Josh Silberstein and Carlos Cashman
CloudKitchens,5,November 2019[120],Ghost kitchen,US,
Hello TransTech,5,March 2021[121],Transportation,China,
Hopper,5,August 2021[122],Travel,Canada,
JUUL Labs,5,October 2019[123],Electronic Cigarettes,US,
OfBusiness,5,December 2021[124],B2B e-commerce,India,"Bhuvan Gupta, Vasant Sridhar, Ruchi Kalra, Nitin Jain, Asish Mohapatra"
Ola Electric,5,January 2022[125],Electric vehicles,India,Bhavish Aggarwal
Ro,5,March 2021[126],Health technology,US,
Royole,5,August 2018[127],Flexible electronics,China /  US,
UBtech Robotics,5,May 2018[128],Robotics,China,
United Imaging Healthcare,5,September 2017[129],Healthcare,China,
Zepz,5,August 2021[130],Financial technology,UK,
Animoca Brands,5,January 2022[131],Blockchain gaming,Hong Kong,Yat Siu
Octopus Energy,5,December 2021[132],Energy supply,UK,
Meesho,4.9,September 2021[133],E-commerce,India,"Vidit Aatrey, Sanjeev Barnwal"
Anduril Industries,4.6,June 2021[134],Defense Technology,US,Palmer Luckey
Checkr,4.6,August 2021[135],Human resource management,US,
Dataiku,4.6,August 2021[136],Artificial intelligence,France /  US,
Magic Leap,4.5,February 2016[1][5],Augmented reality,US,
Socure,4.5,November 2021[137],Identity management,US,
Vinted,4.5,May 2021[138],Marketplace,Lithuania,"Milda Mitkutė, Justas Janauskas"
Nord security,1.6,April 2022[139],VPN service,Lithuania,"Tom Okman, Eimantas Sabaliauskas, Jonas Karklys"
Zenefits,4.5,May 2015[2][5],Human resource management,US,
Meizu,4.4,October 2016[129],Consumer electronics,China,
Outreach,4.4,June 2021[140],Sales,US,
Arctic Wolf Networks,4.3,July 2021[141],Cybersecurity,US,
Sorare,4.3,September 2021[142],Fantasy sports,France,
Chainalysis,4.2,June 2021[citation needed][143],Blockchain,US,
Relativity Space,4.2,June 2021[144],Aerospace,US,
SSENSE,4.15,June 2021[145],E-commerce,Canada,
Bitpanda,4.1,August 2021[146],Cryptocurrency,Austria,
Dataminr,4.1,March 2021[147],Data analytics,US,
Yello Mobile,4.05,November 2016[5][148],Software industry,South Korea,
Branch Metrics,4,February 2022[149],Marketing,US,
BrowserStack,4,June 2021[150],Software,India,"Ritesh Arora, Nakul Aggarwal"
Clubhouse,4,April 2021[151],Messaging,US,Paul Davison and Rohan Seth
CRED,4,October 2021[152],Financial technology,India,Kunal Shah
Houzz,4,June 2017[153],Interior design,US,
iCapital Network,4,July 2021[154],Financial services,US,
Megvii,4,May 2019[155],Technology,China,
Melio,4,September 2021[156],Financial technology,Israel,
Next Insurance,4,March 2021[157],Insurance,US,
Olive,4,June 2021[158],Health technology,US,
Patreon,4,April 2021[159],Online Membership service,US,"Jack Conte, Sam Yam"
PointClickCare,4,January 2021[160],Software,Canada,
QuintoAndar [pt],4,May 2021[161],Real Estate,Brazil,
Niantic,3.95,January 2019[162],Video games,US,
StockX,3.8,April 2021[163],E-commerce,US,
Articulate,3.75,July 2021[164],Education technology,US,
Cohesity,3.7,March 2021[165],Software,US,
Noom,3.7,May 2021[166],Healthcare,US,
Papaya Global,3.7,September 2021[167],Workforce management,Israel /  US,
ShareChat,3.7,December 2021[168],Social network,India,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan"
VAST Data,3.7,May 2021[169],Data storage,US,
WHOOP,3.6,August 2021[170],Wearable technology,US,
Shouqi,3.55,December 2016[129],Transportation,China,
Alchemy,3.5,October 2021[171],Blockchain,US,
Coalition,3.5,September 2021[172],Cybersecurity,US,
Commure,3.5,September 2021[173],Health technology,US,
Digit Insurance,3.5,July 2021[174],Insurance,India,Kamesh Goyal
Mirakl,3.5,September 2021[175],Marketplace,France,
N26,3.5,July 2019[176],Financial services,Germany,
OwnBackup,3.35,August 2021[177],Data storage,US,
Preferred Networks,3.33,September 2019[178],Artificial intelligence,Japan,
CARS24,3.3,December 2021[179],Marketplace,India,"Vikram Chopra, Mehul Agrawal, Gajendra Jangid and Ruchit Agarwal"
Rubrik,3.3,January 2019[180],Computer storage,US,"Bipul Sinha, Arvind Jain, Soham Mazumdar, Arvind Nithrakashyap"
Scopely,3.3,October 2020[181],Mobile gaming,US,
WeRide,3.3,June 2021[182],Self-driving cars,China,
Youxia Motors,3.3,October 2018[183],Electric vehicles,China,
MoonPay,3.4,November 2021[184],Cryptocurrency,US,
Unacademy,3.4,August 2021[185],Education Technology,India,Gaurav Munjal
Plus.ai,3.3,May 2021[186],Self-driving trucks,US,
Starburst Data,3.3,February 2022[187],Data Analytics,US,
ApplyBoard,3.2,June 2021[188],Education technology,Canada,"Martin Basiri, Massi Basiri, Meti Basiri"
Back Market,3.2,May 2021[189],Marketplace,France,
Blockstream,3.2,August 2021[190],Fintech,Canada,
ConsenSys,3.2,November 2021[191],Blockchain,US,
Cybereason,3.2,July 2021[192],Cybersecurity,Israel /  US,
Eruditus,3.2,August 2021[193],Educational technology,India,
