"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bosnia and Herzegovina","BIH","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","331","331","331","331","128","83","32","32","24","24","24","24","24","35","35","35","","",
"Belarus","BLR","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233","233","233","232","23","20","17","12","12","6","6","5","5","5","5","5","","",
"Belize","BLZ","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60","60","60","60","60","60","59","60","60","60","60","60","60","60","","",
"Bermuda","BMU","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","91","91","91","91","91","91","91","91","91","90","90","90","90","90","90","","",
"Brazil","BRA","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.74","31.74","31.74","31.435","31.435","31.435","30.74","","",
"Barbados","BRB","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","39","39","39","39","39","50","","",
"Brunei Darussalam","BRN","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","299","299","299","299","299","299","299","299","299","299","299","298.5","298.5","298.5","","",
"Bhutan","BTN","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","92","92","92","92","92","92","92","92","92","92","77","77","77","77","77","","",
"Botswana","BWA","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","11","10","12","12","12","12","12","12","12","12","27","27","27","","",
"Central African Republic","CAF","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","75","","",
"Canada","CAN","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","6.5","4","4","4","4","4","4","4","","",
"Central Europe and the Baltics","CEB","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180.272727272727","179","128.181818181818","106.318181818182","101.727272727273","81.7272727272727","48.9545454545455","42.0909090909091","31.7272727272727","28.6363636363636","27.7727272727273","25.4090909090909","24.0454545454545","24.0454545454545","28.2727272727273","31.9090909090909","","",
"Switzerland","CHE","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","16","","",
"Channel Islands","CHI","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","31","31","31","31","31","31","28.5","28.5","28.5","28.5","28.5","28.5","28.5","","",
"China","CHN","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.45","23.45","23.45","23.45","23.45","9","9","","",
"Cote d'Ivoire","CIV","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","389","389","51","51","51","51","51","51","51","39","30","30","30","30","39","39","","",
"Cameroon","CMR","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","93","93","93","93","93","93","93","93","86","86","86","86","86","81","81","","",
"Congo, Dem. Rep.","COD","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","51","51","51","51","51","44","44","44","44","44","44","44","38","38","38","","",
"Congo, Rep.","COG","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","75","75","54","54","54","54","54","54","54","54","54","54","54","54","54","","",
"Colombia","COL","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","23","23","23","23","21","21","16","16","15","15","15","15","15","15","15","","",
"Comoros","COM","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","","",
"Cabo Verde","CPV","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","83","83","73","73","73","31","31","22","22","22","22","22","22","19","","",
"Costa Rica","CRI","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","21","21","21","21","21","20.5","19","19","19","19","19","19","11","11","11","","",
"Caribbean small states","CSS","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44","66.8181818181818","66","83.9166666666667","70.0833333333333","70.3333333333333","66.2083333333333","67.2692307692308","64.4230769230769","57.5384615384615","51.8461538461538","52.9230769230769","69.8461538461538","61.7692307692308","68.1538461538462","69","","",
"Cuba","CUB","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","43","21","21","9","9","9","9","9","9","","",
"Czech Republic","CZE","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124","124","124","124","124","79","44","26","25","25","30.5","30.5","27.5","27.5","27.5","27.5","","",
"Germany","DEU","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","52","52","52","52","52","52","52","52","52","52","52","52","52","52","52","","",
"Djibouti","DJI","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","54","45","45","45","45","45","45","45","45","45","45","45","24","24","","",
"Dominica","DMA","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","42","42","42","42","42","42","42","42","42","42","125","125","","",
"Denmark","DNK","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","42","42","42","42","42","41","15","9","4","4","4","4","4","4","4","","",
"Dominican Republic","DOM","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","92","92","45","45","45","45","45","45","45","45","45","45","45","33","33","","",
"Algeria","DZA","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","74","74","74","74","55","55","55","55","55","55","55","55","55","55","55","","",
"East Asia & Pacific (excluding high income)","EAP","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120.366666666667","120.366666666667","120.366666666667","120.366666666667","119.7","119.7","91.6","84.6666666666667","82.75","76.1994444444445","72.8661111111111","72.8661111111111","72.8661111111111","71.3661111111111","70.3688888888889","69.2577777777778","","",
"Early-demographic dividend","EAR","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103.139534883721","98.8039215686274","97.8235294117647","84.8846153846154","81.4134615384615","75.4423076923077","68.5188679245283","63.4528301886792","64.4907407407407","65.9020338983051","63.21","62.2608474576271","61.8669491525424","61.4298305084746","59.6533898305085","57.7353389830509","","",
"East Asia & Pacific","EAS","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.3333333333333","89.2142857142857","98.7272727272727","98.7045454545455","98.2045454545455","98.1590909090909","79","74.2727272727273","73.3913043478261","66.6957692307692","64.3111538461539","64.2919230769231","64.2534615384616","63.1573076923077","62.5630769230769","61.8323076923077","","",
"Europe & Central Asia (excluding high income)","ECA","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.3333333333333","77.625","77.0588235294118","76.4117647058823","47","40.0555555555556","36.5555555555556","31.7777777777778","28.6388888888889","25.0131578947368","23.1052631578947","21.3157894736842","19.8421052631579","20.0526315789474","19.9473684210526","19.9210526315789","","",
"Europe & Central Asia","ECS","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.3690476190476","90.9186046511628","76.3555555555556","68.6111111111111","55.8913043478261","46.4893617021277","36.031914893617","31.7340425531915","28.28125","25.6581632653061","24.8571428571429","23.469387755102","22.4489795918367","22.530612244898","23.05","23.69","","",
"Ecuador","ECU","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","16","16","13","13","13","13","13","36","36","36","36","36","36","36","26","","",
"Egypt, Arab Rep.","EGY","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","195","195","195","89","89","89","89","89","79","76","76","76","76","76","76","","",
"Euro area","EMU","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.84375","70.21875","67.0588235294118","61.2058823529412","59.4444444444444","52.7222222222222","33.8611111111111","30.6578947368421","28.6842105263158","27.2631578947368","27.5526315789474","26.2894736842105","26.2894736842105","26.2894736842105","25.6052631578947","25.3157894736842","","",
"Eritrea","ERI","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78","78","78","78","78","78","78","78","78","78","78","78","78","78","78","78","","",
"Spain","ESP","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5","20.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13.5","13","13","13","13","13","13","","",
"Estonia","EST","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.5","50.5","50.5","50.5","50.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","17.5","","",
"Ethiopia","ETH","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54","54","54","54","54","52","52","52","52","52","52","52","52","52","52","52","","",
"European Union","EUU","Time required to register property (days)","IC.PRP.DURS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.458333333333","109.666666666667","83.62","70.04","66.7115384615385","55.0576923076923","38.5769230769231","33.4074074074074","28.9814814814815","27.0185185185185","26.9074074074074","25.6481481481481","24.8333333333333","24.8333333333333","26.0740740740741","27.3518518518519","","",
